1719081025.020861: 21.46C
1719081030.0233963: 27.86C
1719081035.0288692: 24.92C
1719081040.0320117: 27.96C
1719081045.0353122: 25.69C
2024-06-22 15:30:50: 25.3 °C
1719081050.0393908: 25.3C
1719081055.0433898: 23.48C
2024-06-22 15:30:55: 23.48 °C
1719081060.048885: 26.33C
2024-06-22 15:31:00: 26.33 °C
1719081065.0543475: 28.3C
2024-06-22 15:31:05: 28.3 °C
2024-06-22 15:31:10: 27.91 °C
1719081070.0592966: 27.91C
1719081075.0647295: 27.22C
1719081080.0701594: 25.72C
1719081085.0753489: 26.8C
1719081090.0793786: 28.8C
1719081095.0837474: 22.24C
1719081100.0873938: 23.82C
1719081105.0928552: 28.65C
1719081110.0952814: 23.45C
1719081115.099283: 27.13C
1719081120.1033213: 25.13C
1719081125.1073725: 21.21C
1719081130.1112938: 24.43C
1719081135.1152909: 29.22C
1719081140.1193135: 26.91C
1719081145.1247137: 20.33C
1719081150.1273813: 20.92C
1719081155.1329112: 24.59C
1719081160.138373: 29.77C
1719081165.1396966: 29.79C
1719081170.1432834: 27.56C
1719081175.1473076: 21.93C
1719081180.1524785: 25.36C
1719081185.15528: 28.62C
1719081190.1597674: 26.23C
1719081195.163313: 26.0C
1719081200.167436: 26.5C
1719081205.1712947: 29.62C
1719081210.1752834: 23.88C
1719081215.179296: 29.91C
1719081220.1832826: 29.3C
1719081225.1885817: 27.42C
1719081230.1913004: 28.03C
1719081235.1952803: 24.77C
1719081240.1993947: 24.32C
1719081245.2034483: 28.24C
1719081250.207434: 28.8C
1719081255.2113187: 29.36C
1719081260.2154117: 25.72C
1719081265.2193995: 23.32C
1719081270.2248895: 25.8C
1719081275.2298439: 20.9C
1719081280.2327828: 25.74C
1719081285.2367086: 23.5C
1719081290.2408648: 25.35C
1719081295.2457232: 23.65C
1719081300.2473032: 25.88C
1719081305.2512503: 28.64C
1719081310.255287: 24.46C
1719081315.2593: 25.78C
1719081320.2632868: 26.35C
1719081325.267261: 20.46C
1719081330.2712667: 24.1C
1719081335.2752879: 24.98C
1719081340.2794247: 21.14C
1719081345.2834551: 25.16C
1719081350.287429: 22.5C
1719081355.2915063: 28.42C
1719081360.295426: 25.9C
1719081365.2993817: 22.9C
1719081370.304562: 22.44C
1719081375.3074067: 29.03C
1719081380.3113806: 25.31C
1719081385.3153172: 25.97C
1719081390.3192973: 20.68C
1719081395.3233073: 24.17C
1719081400.3273213: 24.47C
1719081405.3313093: 22.37C
1719081410.3353732: 27.68C
1719081415.3393743: 27.25C
1719081420.3433354: 25.78C
1719081425.347335: 20.63C
1719081430.3512812: 25.95C
1719081435.3554265: 24.62C
1719081440.3594089: 29.68C
1719081445.3644137: 27.22C
1719081450.3674345: 27.39C
1719081455.3712997: 23.36C
1719081460.375319: 25.86C
1719081465.379385: 29.53C
1719081470.3833168: 22.29C
1719081475.3884816: 25.1C
1719081480.393637: 20.19C
1719081485.3954003: 21.2C
1719081490.3992946: 20.13C
1719081495.4032922: 28.01C
1719081500.4072788: 24.78C
1719081505.4113393: 26.31C
1719081510.4157345: 28.94C
1719081515.420701: 26.68C
1719081520.4233384: 22.68C
1719081525.4273093: 23.15C
1719081530.4321196: 21.06C
1719081535.4352512: 24.2C
1719081540.4393032: 29.44C
1719081545.4442506: 24.09C
1719081550.4473798: 22.61C
1719081555.4513218: 28.22C
1719081560.4561348: 26.74C
1719081565.4593084: 25.7C
1719081570.463283: 26.17C
1719081575.467302: 22.88C
1719081580.4724267: 29.16C
1719081585.4754047: 21.5C
1719081590.479283: 20.19C
1719081595.4832873: 23.46C
1719081600.487432: 28.95C
1719081605.4913874: 24.11C
1719081610.4953048: 20.31C
1719081615.4993348: 23.44C
1719081620.504615: 24.89C
1719081625.5086603: 22.71C
1719081630.511276: 22.01C
1719081635.5164526: 21.57C
1719081640.5192802: 25.03C
1719081645.523351: 20.65C
1719081650.5278587: 29.54C
1719081655.5335743: 20.55C
1719081660.535396: 21.71C
1719081665.539404: 23.97C
1719081670.5450726: 22.67C
1719081675.5473065: 24.28C
1719081680.5512955: 28.29C
1719081685.5553188: 26.72C
1719081690.559438: 26.84C
1719081695.5633447: 27.54C
1719081700.5673025: 21.21C
1719081705.571298: 29.9C
1719081710.5753183: 25.27C
1719081715.580469: 27.92C
1719081720.5834002: 21.41C
1719081725.5873554: 29.11C
1719081730.5914054: 21.39C
1719081735.595296: 29.3C
1719081740.5998335: 25.67C
1719081745.6054525: 26.65C
1719081750.6073751: 22.75C
1719081755.6124713: 29.35C
1719081760.6153004: 28.07C
1719081765.6193633: 26.25C
1719081770.623286: 27.49C
1719081775.628807: 28.05C
1719081780.6313744: 26.52C
1719081785.6353164: 29.68C
1719081790.6393187: 29.29C
1719081795.6433458: 24.43C
1719081800.6485064: 24.45C
1719081805.6512911: 29.68C
1719081810.6553261: 23.04C
1719081815.6592877: 26.28C
1719081820.6633193: 22.7C
1719081825.6672902: 25.35C
1719081830.6713831: 26.88C
1719081835.6752894: 24.75C
1719081840.6792865: 29.85C
1719081845.6832843: 27.55C
1719081850.6874413: 23.6C
